folder,role,dx,dy,distance_px,covariance_dn2,normalized_acf,direction
5,evaluation,0,-7,7.0,10149.801338979318,0.1305586068692534,vertical
5,evaluation,7,-7,9.899494936611665,5658.52988228578,0.07278662445560379,diagonal_anti
5,evaluation,-6,-6,8.48528137423857,7772.570892444712,0.09997989060268041,diagonal_main
5,evaluation,0,-6,6.0,10340.804124871831,0.1330155079258785,vertical
5,evaluation,6,-6,8.48528137423857,6631.76125392074,0.08530546377062931,diagonal_anti
5,evaluation,-5,-5,7.0710678118654755,8591.687139030904,0.1105163210653696,diagonal_main
5,evaluation,0,-5,5.0,10540.422470206331,0.13558323237702904,vertical
5,evaluation,5,-5,7.0710678118654755,7614.052772076324,0.09794084527877356,diagonal_anti
5,evaluation,-4,-4,5.656854249492381,9409.993696652593,0.12104233636231587,diagonal_main
5,evaluation,0,-4,4.0,10775.594137936809,0.13860828521191515,vertical
5,evaluation,4,-4,5.656854249492381,8699.662944489195,0.11190523206622645,diagonal_anti
5,evaluation,-3,-3,4.242640687119285,10166.386421115307,0.1307719435786303,diagonal_main
5,evaluation,0,-3,3.0,11031.485442983187,0.1418998582369464,vertical
5,evaluation,3,-3,4.242640687119285,9649.937309150773,0.12412877152776401,diagonal_anti
5,evaluation,-2,-2,2.8284271247461903,10851.773292807164,0.1395881905322444,diagonal_main
5,evaluation,0,-2,2.0,11380.701482460116,0.14639188306460582,vertical
5,evaluation,2,-2,2.8284271247461903,10576.257182924704,0.1360441803319514,diagonal_anti
5,evaluation,-1,-1,1.4142135623730951,11519.02430605672,0.14817115287924146,diagonal_main
5,evaluation,0,-1,1.0,11714.259659208266,0.15068249816254292,vertical
5,evaluation,1,-1,1.4142135623730951,11411.246289719622,0.14678478607321702,diagonal_anti
5,evaluation,-16,0,16.0,2990.8753516414713,0.038472134201315,horizontal
5,evaluation,-15,0,15.0,3213.8123691471715,0.041339810666405054,horizontal
5,evaluation,-14,0,14.0,3490.52431592457,0.04489920311841231,horizontal
5,evaluation,-13,0,13.0,3774.771047748178,0.048555516781568255,horizontal
5,evaluation,-12,0,12.0,4132.95174604033,0.05316285552788331,horizontal
5,evaluation,-11,0,11.0,4582.956281032288,0.05895133977611829,horizontal
5,evaluation,-10,0,10.0,5071.806611112356,0.0652395040397596,horizontal
5,evaluation,-9,0,9.0,5637.207183413545,0.07251234698292454,horizontal
5,evaluation,-8,0,8.0,6310.146408301525,0.08116847775581365,horizontal
5,evaluation,-7,0,7.0,6996.940068326686,0.09000282046508067,horizontal
5,evaluation,-6,0,6.0,7790.022839031109,0.10020437793572073,horizontal
5,evaluation,-5,0,5.0,8606.918950598889,0.1107122504271369,horizontal
5,evaluation,-4,0,4.0,9443.037894946525,0.12146738945944388,horizontal
5,evaluation,-3,0,3.0,10233.794416884679,0.13163902399977112,horizontal
5,evaluation,-2,0,2.0,10836.791729521588,0.13939548015634998,horizontal
5,evaluation,-1,0,1.0,11638.814684515773,0.14971203672569586,horizontal
5,evaluation,0,0,0.0,77741.34223983971,1.0,horizontal
5,evaluation,1,0,1.0,11638.814684515772,0.14971203672569583,horizontal
5,evaluation,2,0,2.0,10836.791729521588,0.13939548015634998,horizontal
5,evaluation,3,0,3.0,10233.794416884679,0.13163902399977112,horizontal
5,evaluation,4,0,4.0,9443.037894946523,0.12146738945944385,horizontal
5,evaluation,5,0,5.0,8606.918950598889,0.1107122504271369,horizontal
5,evaluation,6,0,6.0,7790.022839031109,0.10020437793572073,horizontal
5,evaluation,7,0,7.0,6996.940068326686,0.09000282046508067,horizontal
5,evaluation,8,0,8.0,6310.146408301525,0.08116847775581365,horizontal
5,evaluation,9,0,9.0,5637.207183413546,0.07251234698292455,horizontal
5,evaluation,10,0,10.0,5071.806611112357,0.06523950403975962,horizontal
5,evaluation,11,0,11.0,4582.956281032288,0.05895133977611829,horizontal
5,evaluation,12,0,12.0,4132.951746040329,0.053162855527883295,horizontal
5,evaluation,13,0,13.0,3774.771047748178,0.048555516781568255,horizontal
5,evaluation,14,0,14.0,3490.52431592457,0.04489920311841231,horizontal
5,evaluation,15,0,15.0,3213.8123691471724,0.04133981066640507,horizontal
5,evaluation,16,0,16.0,2990.8753516414718,0.038472134201315,horizontal
