absolute_path,size_bytes,modified_time_ns,sha256
D:\iccd\data\20260319\2\144-Camera1[20600555].tif,52469894,1784105921628842900,34b2f432be8b0ce96913ee1bdc6feb8e3a3949ff3cd60673f3be301c16cb74d6
D:\iccd\data\20260319\2\145-Camera1[20600555].tif,52469894,1784105921834919400,d329d8019207fe7546b71b411113acbf5382dca63ba9fbe915186aa89dd61af1
D:\iccd\data\20260319\2\146-Camera1[20600555].tif,52469894,1784105924575277200,aa1bd82d63332e1f041ce6fc4b822a68017b028b626f4d227f0a8a31f85f578e
D:\iccd\data\20260319\2\147-Camera1[20600555].tif,52469894,1784105925068170900,e623190b72581c3ade264e84b1c73b43e2611189e0a70249287a6da969f95e80
D:\iccd\data\20260319\2\148-Camera1[20600555].tif,52469894,1784105923461864000,1dfef597b862caf822c61fcff172390b92b86a6d78886be508212f549797255e
D:\iccd\data\20260319\2\149-Camera1[20600555].tif,52469894,1784105927795457400,27cf225d6fe5ba56d8723050fb04962b3c717c26fb51bdc9808fc5117004f03a
D:\iccd\data\20260319\2\150-Camera1[20600555].tif,52469894,1784105926307034900,0d3cd62b3653798b3ca97cef3a86ee66a1e7aea1fd1585c5ea60739ddcaf6706
D:\iccd\data\20260319\2\151-Camera1[20600555].tif,52469894,1784105933458773900,570ad50915c31b9a3d215bc3236a0b67f0f42fc0ac9355acf0ad7ba45d65936d
D:\iccd\data\20260319\2\152-Camera1[20600555].tif,52469894,1784105934140573600,258fc6d0f7a60d2105fa8e2224d2f256c3f66848c20facc56dc1288c6eaf7386
D:\iccd\data\20260319\2\153-Camera1[20600555].tif,52469894,1784105933321186400,01a0e9a4aaa487e09b7a2c67a7f38ecaebb82151d0d3492415970c7ddd275ea7
D:\iccd\data\20260319\2\154-Camera1[20600555].tif,52469894,1784105936257573800,f11ca7de16db3b0e7d8078075ea5f3ea9cc6dd03f247ba3c9a30c9d9c63188b6
