variant,pair_key,source_pair_key,structure_source,strength_level,seed,p99_source_residual_std,physical_source_residual_std,p99_source_clean_std,physical_source_clean_std,common_clean_std,target_residual_std,realized_residual_mean,realized_residual_std,preclip_pixel_ratio,saved_zero_pixel_ratio,saved_one_pixel_ratio,signal_residual_correlation
P-H,factorial_15ms_to_500ms_017,15ms_to_500ms_017,p99,high,20260732,0.001559467086910171,0.0008624326205226172,0.06581206814917484,0.014634845683112666,0.06478373892454792,0.0038177108893209513,-5.534047886612825e-09,0.0038177088755701554,0.00011444091796875,0.0,0.00011444091796875,-0.01957300015217111
H-L,factorial_15ms_to_500ms_017,15ms_to_500ms_017,physical,low,20260732,0.001559467086910171,0.0008624326205226172,0.06581206814917484,0.014634845683112666,0.06478373892454792,0.001535100042606403,-1.2238388080731966e-10,0.001535091340217568,6.866455078125e-05,0.0,6.866455078125e-05,-0.019242411453747117
H-H,factorial_15ms_to_500ms_017,15ms_to_500ms_017,physical,high,20260732,0.001559467086910171,0.0008624326205226172,0.06581206814917484,0.014634845683112666,0.06478373892454792,0.0038177108893209513,-5.243691703071818e-09,0.003817707973473339,9.918212890625e-05,0.0,9.918212890625e-05,-0.021885530647074995
P-L,factorial_15ms_to_500ms_018,15ms_to_500ms_018,p99,low,20260733,0.0014887660424341314,0.0008931376319746082,0.05633487551339145,0.015458244822769269,0.05545462969156289,0.0014655037191114969,-2.331301374169925e-09,0.001465509223180452,1.1444091796875e-05,0.0,1.1444091796875e-05,-0.006913476108421828
P-H,factorial_15ms_to_500ms_018,15ms_to_500ms_018,p99,high,20260733,0.0014887660424341314,0.0008931376319746082,0.05633487551339145,0.015458244822769269,0.05545462969156289,0.003204025891205834,1.5659068708373525e-08,0.003204032076003211,1.9073486328125e-05,0.0,1.9073486328125e-05,-0.00716322362422755
H-L,factorial_15ms_to_500ms_018,15ms_to_500ms_018,physical,low,20260733,0.0014887660424341314,0.0008931376319746082,0.05633487551339145,0.015458244822769269,0.05545462969156289,0.0014655037191114969,2.878977056752774e-10,0.001465504485475576,2.288818359375e-05,0.0,2.288818359375e-05,0.003378966735981139
H-H,factorial_15ms_to_500ms_018,15ms_to_500ms_018,physical,high,20260733,0.0014887660424341314,0.0008931376319746082,0.05633487551339145,0.015458244822769269,0.05545462969156289,0.003204025891205834,2.2060760329623008e-08,0.003204039534212561,2.288818359375e-05,0.0,2.288818359375e-05,0.0026671177670130435
P-L,factorial_15ms_to_500ms_019,15ms_to_500ms_019,p99,low,20260734,0.0014282315634710076,0.0008974146746379689,0.05144530348934145,0.01563949303880911,0.05064145845158254,0.0014059151074060788,-1.7297459464771237e-08,0.0014059468611842426,2.6702880859375e-05,0.0,2.6702880859375e-05,0.007400405927291023
P-H,factorial_15ms_to_500ms_019,15ms_to_500ms_019,p99,high,20260734,0.0014282315634710076,0.0008974146746379689,0.05144530348934145,0.01563949303880911,0.05064145845158254,0.002905873473439632,1.2215338074383908e-08,0.002905894863448781,2.6702880859375e-05,0.0,2.6702880859375e-05,0.007383280381903356
H-L,factorial_15ms_to_500ms_019,15ms_to_500ms_019,physical,low,20260734,0.0014282315634710076,0.0008974146746379689,0.05144530348934145,0.01563949303880911,0.05064145845158254,0.0014059151074060788,5.113506063025852e-09,0.0014059244180348054,2.288818359375e-05,0.0,2.288818359375e-05,0.00924907279339704
H-H,factorial_15ms_to_500ms_019,15ms_to_500ms_019,physical,high,20260734,0.0014282315634710076,0.0008974146746379689,0.05144530348934145,0.01563949303880911,0.05064145845158254,0.002905873473439632,1.31504123146442e-08,0.0029058749978012376,2.288818359375e-05,0.0,2.288818359375e-05,0.009237547277555064
P-L,factorial_15ms_to_500ms_020,15ms_to_500ms_020,p99,low,20260735,0.0014323972002133686,0.000922552515574838,0.050189655808484154,0.016720947440484038,0.04940543054337423,0.0014100156545345844,1.8849739547022182e-08,0.0014100159805686345,1.52587890625e-05,0.0,1.52587890625e-05,0.006431543667277943
P-H,factorial_15ms_to_500ms_020,15ms_to_500ms_020,p99,high,20260735,0.0014323972002133686,0.000922552515574838,0.050189655808484154,0.016720947440484038,0.04940543054337423,0.0027258685186997036,6.166629873405327e-09,0.0027258686320355313,1.52587890625e-05,0.0,1.52587890625e-05,0.00569651516349022
H-L,factorial_15ms_to_500ms_020,15ms_to_500ms_020,physical,low,20260735,0.0014323972002133686,0.000922552515574838,0.050189655808484154,0.016720947440484038,0.04940543054337423,0.0014100156545345844,6.9798318236280465e-09,0.0014100228358887117,7.62939453125e-06,0.0,7.62939453125e-06,-0.014774200374267904
H-H,factorial_15ms_to_500ms_020,15ms_to_500ms_020,physical,high,20260735,0.0014323972002133686,0.000922552515574838,0.050189655808484154,0.016720947440484038,0.04940543054337423,0.0027258685186997036,-3.4435743145877495e-09,0.0027258707362321248,7.62939453125e-06,0.0,7.62939453125e-06,-0.014755075662571008
P-L,factorial_15ms_to_500ms_021,15ms_to_500ms_021,p99,low,20260736,0.001554415170633202,0.0008965407331614371,0.060898328315380314,0.01519086323187672,0.059946777405912144,0.0015301270627290384,2.144474819942843e-09,0.001530137478573754,7.62939453125e-06,0.0,7.62939453125e-06,0.02845040855879163
P-H,factorial_15ms_to_500ms_021,15ms_to_500ms_021,p99,high,20260736,0.001554415170633202,0.0008965407331614371,0.060898328315380314,0.01519086323187672,0.059946777405912144,0.0035379640344192723,-9.205706419379567e-09,0.00353797992450083,1.52587890625e-05,0.0,1.52587890625e-05,0.027613422177185067
H-L,factorial_15ms_to_500ms_021,15ms_to_500ms_021,physical,low,20260736,0.001554415170633202,0.0008965407331614371,0.060898328315380314,0.01519086323187672,0.059946777405912144,0.0015301270627290384,5.40987343811139e-09,0.0015301150891138579,2.6702880859375e-05,0.0,2.6702880859375e-05,0.005098543124049808
H-H,factorial_15ms_to_500ms_021,15ms_to_500ms_021,physical,high,20260736,0.001554415170633202,0.0008965407331614371,0.060898328315380314,0.01519086323187672,0.059946777405912144,0.0035379640344192723,2.56662815445452e-08,0.0035379468359179843,4.1961669921875e-05,0.0,4.1961669921875e-05,0.004611285729107198
P-L,factorial_15ms_to_500ms_022,15ms_to_500ms_022,p99,low,20260737,0.0016849081032826632,0.0008497920558388443,0.07383285940780213,0.014149296351479712,0.07267920331506626,0.0016585810110551248,-4.661217190005118e-09,0.0016585803511000388,0.00052642822265625,0.0,0.00052642822265625,-0.10986987311691215
P-H,factorial_15ms_to_500ms_022,15ms_to_500ms_022,p99,high,20260737,0.0016849081032826632,0.0008497920558388443,0.07383285940780213,0.014149296351479712,0.07267920331506626,0.004365037530320758,-5.1807091949740425e-09,0.004365030891773478,0.00064849853515625,0.0,0.00064849853515625,-0.12481475941827229
H-L,factorial_15ms_to_500ms_022,15ms_to_500ms_022,physical,low,20260737,0.0016849081032826632,0.0008497920558388443,0.07383285940780213,0.014149296351479712,0.07267920331506626,0.0016585810110551248,2.9268676371430047e-10,0.0016585941756777065,0.000499725341796875,0.0,0.000499725341796875,-0.07010950875980734
H-H,factorial_15ms_to_500ms_022,15ms_to_500ms_022,physical,high,20260737,0.0016849081032826632,0.0008497920558388443,0.07383285940780213,0.014149296351479712,0.07267920331506626,0.004365037530320758,4.132971298531629e-09,0.0043650358302690494,0.0005950927734375,0.0,0.0005950927734375,-0.07591849119900458
P-L,factorial_15ms_to_500ms_023,15ms_to_500ms_023,p99,low,20260738,0.0016592856384055282,0.0008541688547781086,0.0712327014024505,0.014024578413509448,0.07011967340864063,0.0016333589035083381,-4.084441229679214e-09,0.0016333508803569694,0.000301361083984375,0.0,0.000301361083984375,-0.0507789367892866
P-H,factorial_15ms_to_500ms_023,15ms_to_500ms_023,p99,high,20260738,0.0016592856384055282,0.0008541688547781086,0.0712327014024505,0.014024578413509448,0.07011967340864063,0.004270648241032291,1.1287795587122673e-08,0.004270652158911849,0.000438690185546875,0.0,0.000438690185546875,-0.062552779377023
H-L,factorial_15ms_to_500ms_023,15ms_to_500ms_023,physical,low,20260738,0.0016592856384055282,0.0008541688547781086,0.0712327014024505,0.014024578413509448,0.07011967340864063,0.0016333589035083381,6.980091171726599e-09,0.001633377080555654,0.000286102294921875,0.0,0.000286102294921875,-0.056490516562683606
H-H,factorial_15ms_to_500ms_023,15ms_to_500ms_023,physical,high,20260738,0.0016592856384055282,0.0008541688547781086,0.0712327014024505,0.014024578413509448,0.07011967340864063,0.004270648241032291,-1.2273773108972819e-09,0.004270654003220231,0.0003662109375,0.0,0.0003662109375,-0.0629803723857213
P-L,factorial_15ms_to_500ms_024,15ms_to_500ms_024,p99,low,20260739,0.0016704639957283959,0.0008508522837004015,0.07515885152357209,0.013677169397133883,0.07398447649543291,0.0016443625963293675,-1.1299107427475974e-08,0.0016443822155525712,0.000865936279296875,0.0,0.0008697509765625,-0.1445040549519888
P-H,factorial_15ms_to_500ms_024,15ms_to_500ms_024,p99,high,20260739,0.0016704639957283959,0.0008508522837004015,0.07515885152357209,0.013677169397133883,0.07398447649543291,0.004602550349175994,-9.901896191877313e-09,0.004602566118115064,0.001003265380859375,0.0,0.001003265380859375,-0.16420902711643096
H-L,factorial_15ms_to_500ms_024,15ms_to_500ms_024,physical,low,20260739,0.0016704639957283959,0.0008508522837004015,0.07515885152357209,0.013677169397133883,0.07398447649543291,0.0016443625963293675,1.0595215371722588e-08,0.0016443725189362708,0.000743865966796875,0.0,0.000743865966796875,-0.09972065782247116
H-H,factorial_15ms_to_500ms_024,15ms_to_500ms_024,physical,high,20260739,0.0016704639957283959,0.0008508522837004015,0.07515885152357209,0.013677169397133883,0.07398447649543291,0.004602550349175994,5.294850780046545e-09,0.004602558070630158,0.000896453857421875,0.0,0.000896453857421875,-0.11143873637612807
P-L,factorial_15ms_to_500ms_025,15ms_to_500ms_025,p99,low,20260740,0.0018350720860345576,0.0008303974012070446,0.08659013175219679,0.013069874300778352,0.08523714028206136,0.0018063986468187152,1.3849899005435873e-08,0.0018064004515842662,0.002685546875,0.0,0.002689361572265625,-0.3017898792107351
P-H,factorial_15ms_to_500ms_025,15ms_to_500ms_025,p99,high,20260740,0.0018350720860345576,0.0008303974012070446,0.08659013175219679,0.013069874300778352,0.08523714028206136,0.0054155608652126696,-5.7725628721527755e-09,0.005415576378392365,0.002838134765625,0.0,0.002841949462890625,-0.3178258604163623
H-L,factorial_15ms_to_500ms_025,15ms_to_500ms_025,physical,low,20260740,0.0018350720860345576,0.0008303974012070446,0.08659013175219679,0.013069874300778352,0.08523714028206136,0.0018063986468187152,-1.4441980056290049e-08,0.0018063969235237048,0.00275421142578125,0.0,0.00275421142578125,-0.2008210732399459
H-H,factorial_15ms_to_500ms_025,15ms_to_500ms_025,physical,high,20260740,0.0018350720860345576,0.0008303974012070446,0.08659013175219679,0.013069874300778352,0.08523714028206136,0.0054155608652126696,4.125922714592889e-09,0.005415566069746311,0.002986907958984375,0.000125885009765625,0.00286102294921875,-0.2085329958202435
