folder,frame_count,crop_size,radius_px,psd_mean,psd_norm
2,128,512,49,650205561.0526316,0.005588526527339797
2,128,512,50,642209719.2380953,0.0055198021472889595
2,128,512,51,644902379.8518518,0.005542945605558895
2,128,512,52,645395702.1538461,0.005547185718126927
2,128,512,53,634771980.6511627,0.005455874672831191
2,128,512,54,643948362.4691358,0.005534745811877923
2,128,512,55,644327564.5957447,0.005538005059830751
2,128,512,56,646650513.8604652,0.0055579708435231235
2,128,512,57,631699375.8222222,0.005429465588346021
2,128,512,58,630959281.2307693,0.005423104464257233
2,128,512,59,631279244.173913,0.005425854550541684
2,128,512,60,634866752.6530613,0.005456689239605738
2,128,512,61,623336662.1030928,0.0053575879387851
2,128,512,62,624061344.4897959,0.005363816594743424
2,128,512,63,627333428.96,0.005391940209730396
2,128,512,64,626726353.484536,0.005386722386934117
2,128,512,65,629324443.7037038,0.005409053011247349
2,128,512,66,626702259.2,0.005386515296197968
2,128,512,67,616850305.9622642,0.00530183761068869
2,128,512,68,624710813.5929203,0.00536939879140385
2,128,512,69,611979317.5384616,0.005259971392293517
2,128,512,70,612257849.1428572,0.005262365375601422
2,128,512,71,615098770.6915888,0.00528678313882614
2,128,512,72,605920887.7333333,0.005207899097456216
2,128,512,73,631598244.2758621,0.005428596361191658
2,128,512,74,617252150.3448275,0.005305291469170279
2,128,512,75,607319988.9747899,0.005219924393563581
2,128,512,76,612104748.4,0.005261049472425466
2,128,512,77,615931549.6774193,0.005293940886671591
2,128,512,78,604620618.6218487,0.005196723264984946
2,128,512,79,602997385.1612903,0.005182771549100341
2,128,512,80,602828755.4461539,0.0051813221741752605
2,128,512,81,603621510.272,0.0051881359137666986
2,128,512,82,605259019.8208956,0.005202210332844197
2,128,512,83,599864751.6190476,0.005155846516926031
2,128,512,84,594500770.6268656,0.0051097430200281796
2,128,512,85,592567009.4014598,0.005093122313357775
2,128,512,86,597926967.0588236,0.005139191229632655
2,128,512,87,601510532.173913,0.005169992025423613
2,128,512,88,598759777.4656489,0.005146349247542027
2,128,512,89,591311223.7866666,0.005082328817206248
2,128,512,90,597858051.3623189,0.005138598898189899
2,128,512,91,588317811.4444444,0.005056600393329508
2,128,512,92,589960005.5172414,0.005070715075960042
2,128,512,93,588268324.2739726,0.005056175050358745
2,128,512,94,585703480.3157895,0.005034130178156193
2,128,512,95,584157446.9517242,0.005020841998256219
2,128,512,96,590835510.08,0.005078240050778563
2,128,512,97,580813332.8607595,0.0049920992876009125
2,128,512,98,587501945.4736842,0.005049588013101683
2,128,512,99,584825389.9130435,0.005026582978004285
2,128,512,100,584576625.4736842,0.005024444843925321
2,128,512,101,575991016.1927711,0.0049506514036753175
2,128,512,102,583554306.7826087,0.005015657999476896
2,128,512,103,585417949.4358975,0.005031676035970655
2,128,512,104,579819477.0476191,0.004983557082014276
2,128,512,105,576343390.5093168,0.004953680066199183
2,128,512,106,569457586.5747126,0.00489449647833768
2,128,512,107,578270534.9523809,0.004970243901526342
2,128,512,108,574011242.8915663,0.004933635222524866
2,128,512,109,573546015.8128655,0.004929636588821477
2,128,512,110,575271292.3720931,0.004944465366666181
2,128,512,111,573123987.5555556,0.004926009249634398
2,128,512,112,567457304.96,0.00487730402792573
2,128,512,113,572068164.0449438,0.00491693443076067
2,128,512,114,567091158.967742,0.004874156997643028
2,128,512,115,566571961.6888889,0.004869694489261686
2,128,512,116,566506787.6648045,0.004869134317549375
2,128,512,117,566283017.3043479,0.004867211007952607
2,128,512,118,563243432.7659575,0.004841085733358852
2,128,512,119,566838102.6031746,0.004871981974402674
2,128,512,120,564396283.4042553,0.004850994501847017
2,128,512,121,562131242.7826087,0.004831526443808447
2,128,512,122,563121164.7668394,0.004840034838076736
2,128,512,123,560840229.5922331,0.004820430166117619
2,128,512,124,562316828.7659575,0.004833121558112556
2,128,512,125,559926690.8514851,0.004812578286970112
2,128,512,126,553630696.8042328,0.004758464123916692
2,128,512,127,558437953.254902,0.004799782565049057
2,128,512,128,554876615.6116505,0.004769172814711173
4,128,512,0,0.04742676019668579,3.9576376353232453e-14
4,128,512,1,119010573312.0,0.09931117411091496
4,128,512,2,79872930112.0,0.0666518465406128
4,128,512,3,144939160422.4,0.12094789391916513
4,128,512,4,115664974634.66667,0.09651936054760364
4,128,512,5,18244439398.4,0.01522450188438715
4,128,512,6,16473748195.555555,0.013746906932539127
4,128,512,7,9543666410.666666,0.007963937070376594
4,128,512,8,13292209261.714285,0.011091996883740076
