folder,frame_count,crop_size,radius_px,autocorr_mean,autocorr_norm
4,128,512,1,0.029789637280051982,0.021511549899557652
4,128,512,2,0.021532256583844996,0.01554876978188746
4,128,512,3,0.01878082957448617,0.013561922515155322
4,128,512,4,0.016744328456551636,0.012091334101905693
4,128,512,5,0.014977372333859828,0.0108153882269599
4,128,512,6,0.01356661806472649,0.009796661124941864
4,128,512,7,0.01233593171715939,0.008907963806222855
4,128,512,8,0.011340895442459887,0.008189432987138274
4,128,512,9,0.01051463050140159,0.007592774513497416
4,128,512,10,0.009669863599807963,0.006982755492913547
4,128,512,11,0.009097365012182593,0.006569345560481234
4,128,512,12,0.008319634064413748,0.006007734221139321
4,128,512,13,0.007731705839245368,0.005583182312897828
4,128,512,14,0.00724864246764749,0.005234354909425725
4,128,512,15,0.006756314559053025,0.004878837442962091
4,128,512,16,0.006493571985820467,0.004689107036992526
4,128,512,17,0.00598010400768263,0.004318324004970399
4,128,512,18,0.005743775306628636,0.004147667457607035
4,128,512,19,0.00545444528271647,0.003938737849357172
4,128,512,20,0.005186625028524478,0.0037453407727831268
4,128,512,21,0.004856642994662432,0.003507055730214507
4,128,512,22,0.004658716904785924,0.0033641302921241984
4,128,512,23,0.004595907696268531,0.0033187748079176694
4,128,512,24,0.004274859560612044,0.0030869410690436785
4,128,512,25,0.004143749646126694,0.0029922646068476465
4,128,512,26,0.003861888383587639,0.002788728304714779
4,128,512,27,0.003837352335476351,0.0027710104514115648
4,128,512,28,0.0037544360568439123,0.0027111353462359227
4,128,512,29,0.003411506712057883,0.002463500853642517
4,128,512,30,0.0034256024922914574,0.0024736796308131533
4,128,512,31,0.0032527939545758952,0.0023488919589395125
4,128,512,32,0.0032955996986183513,0.0023798026373845166
4,128,512,33,0.0030381145424397665,0.0021938686921853905
4,128,512,34,0.0029220511077414327,0.002110057521758716
4,128,512,35,0.002984497103464834,0.0021551507244856596
4,128,512,36,0.00271894954935022,0.0019633947991838383
4,128,512,37,0.002805843577928406,0.0020261422980593926
4,128,512,38,0.0025335492445790267,0.0018295144209172197
4,128,512,39,0.0025232843232829818,0.001822101965216634
4,128,512,40,0.002608077367296138,0.0018833323112016059
