source_pair_key,full_mean_dn,roi_mean_dn,roi_to_full_mean_ratio,full_p99_dn,roi_p99_dn,full_robust_dynamic_range_dn,roi_robust_dynamic_range_dn,full_zero_ratio,roi_zero_ratio,full_saturation_ratio,roi_saturation_ratio
15ms_to_500ms_036,17036.73782682419,12794.496520996094,0.7509945067565268,39500.0,30109.70000000007,32206.0,22857.70000000007,0.0,0.0,0.00048422813415527344,0.0
15ms_to_500ms_037,17054.41353225708,12809.014499664307,0.7510674275276054,39500.0,30030.140000000014,32173.0,22670.710000000014,0.0,0.0,0.00048422813415527344,0.0
15ms_to_500ms_038,17066.281447649002,12825.749290466309,0.7515257104958353,39528.0,30241.280000000028,32228.0,22911.850000000028,0.0,0.0,0.00048422813415527344,0.0
15ms_to_500ms_039,17116.66657757759,12847.608638763428,0.7505905767653076,39566.0,30217.130000000063,32234.0,22943.130000000063,0.0,0.0,0.00048422813415527344,0.0
15ms_to_500ms_040,17123.539819717407,12878.931720733643,0.7521185371907633,39579.0,30136.570000000007,32212.0,22753.570000000007,0.0,0.0,0.00048422813415527344,0.0
15ms_to_500ms_041,17106.33878517151,12828.85640335083,0.749947523222878,39567.0,29943.0,32247.0,22640.0,0.0,0.0,0.00048422813415527344,0.0
15ms_to_500ms_042,17159.958901405334,12921.893898010254,0.7530259234450731,39551.0,30112.99000000005,32165.0,22705.99000000005,0.0,0.0,0.00048422813415527344,0.0
15ms_to_500ms_043,17085.12518954277,12845.875637054443,0.7518748323200447,39617.0,29952.130000000063,32301.0,22662.130000000063,0.0,0.0,0.00048422813415527344,0.0
15ms_to_500ms_044,17075.920707702637,12859.948307037354,0.7531042411807678,39599.96999999974,30146.140000000014,32271.96999999974,22839.280000000013,0.0,0.0,0.00048422813415527344,0.0
15ms_to_500ms_045,17138.665488004684,12906.749412536621,0.7530778532068338,39579.0,30380.850000000035,32200.0,23076.420000000035,0.0,0.0,0.00048422813415527344,0.0
15ms_to_500ms_046,17095.720175027847,12832.381290435791,0.7506195210881128,39617.0,30210.140000000014,32266.0,22909.140000000014,0.0,0.0,0.00048422813415527344,0.0
