folder,variant,construction,strength,tail,spatial,signal_nonstationarity,real_std,synthetic_std,real_kurtosis,synthetic_kurtosis,real_conditional_valid_fraction,synthetic_conditional_valid_fraction
11,H-L,B,0.5281075538895424,82.33128452301025,0.002778559725031872,0.5639330732747065,0.0009254944161511958,0.001569379586726427,1.7874670028686523,84.1187515258789,1.0,0.125
11,H-H,A,1.4611006579608343,99.17496109008789,0.0029740750054552028,0.5650402297412056,0.0009256722405552864,0.0039902967400848866,1.8000526428222656,100.97501373291016,1.0,0.125
11,H-H,B,1.4717114152953918,98.91295719146729,0.00236282590627703,0.5639330732747065,0.0009254944161511958,0.00403208751231432,1.7874670028686523,100.70042419433594,1.0,0.125
13,P-L,A,0.9632171716084124,257.0942726135254,0.0069022187509484665,0.102236362110203,0.0005973831284791231,0.0015652108704671264,2.5480918884277344,259.6423645019531,1.0,0.125
13,P-L,B,0.9661168133949437,266.7900495529175,0.005322967947029396,0.10415483309727713,0.0005972389481030405,0.0015693771420046687,2.5531206130981445,269.3431701660156,1.0,0.125
13,P-H,A,1.8990618641702677,358.55575942993164,0.005577393077936772,0.102236362110203,0.0005973831284791231,0.003990295343101025,2.5480918884277344,361.1038513183594,1.0,0.125
13,P-H,B,1.9097214241426856,379.99055004119873,0.00461033978241137,0.10415483309727713,0.0005972389481030405,0.0040320842526853085,2.5531206130981445,382.5436706542969,1.0,0.125
13,H-L,A,0.9632162790868283,83.68202590942383,0.008839771597985154,0.102236362110203,0.0005973831284791231,0.0015652094734832644,2.5480918884277344,86.23011779785156,1.0,0.125
13,H-L,B,0.9661183711593515,81.56563091278076,0.0071378755029400534,0.10415483309727713,0.0005972389481030405,0.001569379586726427,2.5531206130981445,84.1187515258789,1.0,0.125
13,H-H,A,1.8990622142655607,98.42692184448242,0.007722676727936567,0.102236362110203,0.0005973831284791231,0.0039902967400848866,2.5480918884277344,100.97501373291016,1.0,0.125
13,H-H,B,1.909722232565201,98.1473035812378,0.006003060501204022,0.10415483309727713,0.0005972389481030405,0.00403208751231432,2.5531206130981445,100.70042419433594,1.0,0.125
