folder,lag,brightness_bin,brightness_low,brightness_high,pixel_count,residual_correlation_mean,residual_correlation_max_abs
2,1,7,1009.9199829101562,1554.6400146484375,32818,0.0029727293641874986,0.04672499659893553
2,8,0,899.760009765625,936.47998046875,32433,-0.007453903460650416,0.07037277698413875
2,8,1,936.47998046875,941.5999755859375,33096,-0.010104365487513188,0.07922321041112745
2,8,2,941.5999755859375,946.3200073242188,32471,0.011808376429331227,0.06600131708635504
2,8,3,946.3200073242188,952.239990234375,32881,-0.00069686208529066,0.053378685416022725
2,8,4,952.239990234375,961.2000122070312,32820,-0.003358155616491694,0.05293405768492639
2,8,5,961.2000122070312,976.5599975585938,32820,0.005353051736733866,0.06533135299353454
2,8,6,976.5599975585938,1009.9199829101562,32805,0.01529947154009438,0.057503623166068496
2,8,7,1009.9199829101562,1554.6400146484375,32818,0.002255195992366924,0.05948866355570602
2,32,0,899.760009765625,936.47998046875,32433,0.0042782146751517555,0.04804850495619779
2,32,1,936.47998046875,941.5999755859375,33096,-0.008180119536164475,0.04462233681952532
2,32,2,941.5999755859375,946.3200073242188,32471,0.0007669484758058889,0.07786312646904939
2,32,3,946.3200073242188,952.239990234375,32881,-0.0067840858079110875,0.04229090388821245
2,32,4,952.239990234375,961.2000122070312,32820,0.004309259875220208,0.0728785877202627
2,32,5,961.2000122070312,976.5599975585938,32820,0.003944652623025586,0.09702253758260328
2,32,6,976.5599975585938,1009.9199829101562,32805,0.00597464879330722,0.056162398726340323
2,32,7,1009.9199829101562,1554.6400146484375,32818,0.0006054507589152164,0.055581479684979444
2,100,0,899.760009765625,936.47998046875,32433,0.002430237915460539,0.05663468378332505
2,100,1,936.47998046875,941.5999755859375,33096,-0.0009218844560766873,0.08917496841707005
2,100,2,941.5999755859375,946.3200073242188,32471,-0.0022885118860532043,0.0587860951419872
2,100,3,946.3200073242188,952.239990234375,32881,-0.01204879886327083,0.11255332476556283
2,100,4,952.239990234375,961.2000122070312,32820,-0.015176329585019492,0.08650738768276162
2,100,5,961.2000122070312,976.5599975585938,32820,-0.010008594457431767,0.05206531767562429
2,100,6,976.5599975585938,1009.9199829101562,32805,-0.005706851506126163,0.056691322771787296
2,100,7,1009.9199829101562,1554.6400146484375,32818,-0.014720476409219784,0.04390179302873514
4,1,0,962.0,1032.0799560546875,32766,-0.004929664964432261,0.07843833708510096
4,1,1,1032.0799560546875,1056.56005859375,32710,-0.010062630909128708,0.04823516636033296
4,1,2,1056.56005859375,1095.0400390625,32827,2.4763358505822813e-05,0.05037667096679897
4,1,3,1095.0400390625,1151.43994140625,32768,-0.00439723290344012,0.05026567670025667
4,1,4,1151.43994140625,1776.800048828125,32768,0.1244013115732514,0.3337581692616318
4,1,5,1776.800048828125,2728.39990234375,32767,0.09728896142890138,0.26289872337754355
4,1,6,2728.39990234375,3201.1201171875,32769,0.017677196146925228,0.06114309499785718
4,1,7,3201.1201171875,4001.199951171875,32769,0.002644742918397844,0.046266878088643125
4,8,0,962.0,1032.0799560546875,32766,-0.007510515973839906,0.04133230496881779
4,8,1,1032.0799560546875,1056.56005859375,32710,-0.002422299488068552,0.054344597174748294
4,8,2,1056.56005859375,1095.0400390625,32827,-0.010195875429495805,0.056742652388873396
4,8,3,1095.0400390625,1151.43994140625,32768,-0.009199156363926346,0.06845841290503864
4,8,4,1151.43994140625,1776.800048828125,32768,0.11393097927592538,0.30442347406570897
4,8,5,1776.800048828125,2728.39990234375,32767,0.08701398400701231,0.22154235454082039
4,8,6,2728.39990234375,3201.1201171875,32769,0.011507614502043068,0.08616476111552838
4,8,7,3201.1201171875,4001.199951171875,32769,-0.0067036978234596345,0.05507777396285347
4,32,0,962.0,1032.0799560546875,32766,-0.004794557986624409,0.06997382945643131
4,32,1,1032.0799560546875,1056.56005859375,32710,0.00582167103225741,0.054810952926006073
4,32,2,1056.56005859375,1095.0400390625,32827,-0.0014452973804089085,0.05356078939920491
4,32,3,1095.0400390625,1151.43994140625,32768,-0.0008943384073584922,0.03855523477747064
4,32,4,1151.43994140625,1776.800048828125,32768,0.08721618716440728,0.25266016903584093
4,32,5,1776.800048828125,2728.39990234375,32767,0.06971024558020959,0.18555927942151154
4,32,6,2728.39990234375,3201.1201171875,32769,-0.0017550312568579082,0.06648946291677069
