folder,lag,pair_count,residual_correlation_mean,residual_correlation_max_abs,highpass_correlation_mean,highpass_correlation_max_abs,row_correlation_mean,column_correlation_mean
11,4,24,-0.0037140751958463637,0.027267716931607275,-0.003856722191042111,0.026024551382715668,-0.02469352537511359,0.017275513038110566
11,8,24,-0.005095667284091996,0.02490031102852159,-0.006260436275114891,0.026570451116439985,0.005983773928657777,0.025837356933302413
11,16,24,-0.005729307388647416,0.01636098712346066,-0.0051722394437494846,0.020490316959121034,-0.0002997988319114545,0.010355325153204685
11,32,24,-0.004037171547903755,0.025807328203123456,-0.006529665070803908,0.019845930349608926,0.03126465145784232,0.04086715993210591
11,64,24,-0.0034679634579507525,0.023684952926702956,-0.004607185173822122,0.03278716829486204,0.023281085494639513,0.01947841467311687
11,100,24,-0.0036285833515646206,0.02072213120345485,-0.003006201968187965,0.021546664163064853,-0.005747472087926409,-0.02519089335140794
13,1,24,-0.0036088140677136386,0.0312529895926626,-0.004402708441579615,0.030338848396701867,0.0019191353350789461,-0.00015555579548094263
13,2,24,-0.007965689003514907,0.02817704019705056,-0.007350425789218919,0.025886944427204423,-0.01670756528229077,0.01981201874847687
13,4,24,-0.0005517630947436634,0.032593855697714405,0.0008629970679713116,0.029571638984367966,0.00012169735895208901,0.0025976423027957557
13,8,24,-0.005088259074051117,0.017260976335582795,-0.005293126945504912,0.015699176173021065,0.017910837700376863,0.009652225375057872
13,16,24,-0.0027078997336311673,0.022625229299171393,-0.002610755506598413,0.020162338837773956,-0.00509803914546578,-0.002270339343424495
13,32,24,-0.005468539975642635,0.02763013333073078,-0.005168077661695156,0.025925532734864892,-0.009976757090801909,0.019464822262687767
13,64,24,-0.005666923780576376,0.0258007854656118,-0.005489380613761887,0.029112368811623126,-0.019135375811782148,0.0073854551001382995
13,100,24,-0.0028582346382712495,0.020604855395330236,-0.0034430011851731205,0.019105365534063497,0.005481383758488664,-0.008135005949764072
