variant,seed,reference,folder,pair_count,positive_pair_fraction,psnr_gain,ssim,ssim_gain,gradient_ratio_to_noisy,residual_std,brightness_bias_to_reference
H-L,20260718,reference_b_even,9,8,0.0,-0.712621338256394,0.9971069897578105,-0.00025481872578224374,0.6013704623522047,0.0015285292320186272,-0.0006465730257332325
H-L,20260718,reference_b_even,10,8,0.0,-2.1604768575781916,0.9973405813808639,-0.000969714887834705,0.4575483749112505,0.001461195308365859,-0.0005414000916061923
H-L,20260718,reference_b_even,11,8,0.0,-3.360868724159676,0.9974082478293906,-0.0015473893793495896,0.23876345765806045,0.0013567696732934564,-0.0003466914095042739
H-L,20260718,reference_b_even,13,8,0.0,-4.7019922063426725,0.9979420405927781,-0.00161563731005053,0.04186670866320211,0.00021814451793034095,0.0010344779584556818
P-H,20260716,reference_a_odd,1,8,0.0,-3.7182228043956265,0.9956434117194064,-0.00246114950742847,0.2565206421209877,0.0017578391270944849,-0.0009343756173620932
P-H,20260716,reference_a_odd,2,8,0.0,-3.261595457523681,0.9981623576326704,-0.0012648632086528222,0.02084571862689269,0.0005255859359749593,0.0008717001110198908
P-H,20260716,reference_a_odd,4,8,0.0,-4.103666875341274,0.9943906618513687,-0.0011325315574576417,0.4742593987450714,0.00232302924268879,-0.0023289694217965007
P-H,20260716,reference_a_odd,5,8,0.0,-1.6583260613036073,0.9862342017567691,0.0024467101892288734,0.6905761783637471,0.003692656406201422,-0.004296966013498604
P-H,20260716,reference_a_odd,7,8,0.0,-3.7649731700266367,0.9907026496361279,-0.0015817207836686525,0.5746352307803562,0.0024686304677743465,-0.0035547447914723307
P-H,20260716,reference_a_odd,8,8,0.0,-4.075468949987621,0.9920426277982781,-0.001547945387816621,0.5404895264970558,0.00229792928439565,-0.0032114936620928347
P-H,20260716,reference_a_odd,9,8,0.0,-4.441455877456638,0.99524653488905,-0.002113727736826998,0.3777436831936755,0.002041203115368262,-0.0015295288321794942
P-H,20260716,reference_a_odd,10,8,0.0,-5.119916819128625,0.9951056882985658,-0.0032059614571317285,0.295835219600326,0.001975997380213812,-0.0009446135081816465
P-H,20260716,reference_a_odd,11,8,0.0,-5.6103809551961294,0.9955540144224647,-0.0034007927403639643,0.1705853497759099,0.0017611295043025166,-0.0004381868529890198
P-H,20260716,reference_a_odd,13,8,0.0,-6.729100449072627,0.9967592329240922,-0.0027995850307366843,0.02369653142042597,0.0002242846767330775,0.0013151168532203883
P-H,20260716,reference_b_even,1,8,0.0,-3.740162998971904,0.9956511842654734,-0.0024659582207925135,0.2565206421209877,0.0017544305592309684,-0.0009368740284116939
P-H,20260716,reference_b_even,2,8,0.0,-3.1636471786756255,0.9982024142981762,-0.001223040922839952,0.02084571862689269,0.0005258193632471375,0.0008592463855165988
P-H,20260716,reference_b_even,4,8,0.0,-4.120757894644555,0.9943807467882687,-0.0011475832902713284,0.4742593987450714,0.002322254265891388,-0.002334978198632598
P-H,20260716,reference_b_even,5,8,0.0,-1.656039615399358,0.9862769012121442,0.00247081014459076,0.6905761783637471,0.0036795381165575236,-0.004288784752134234
